age,dfh,edu,employee_id,job_level,income,salary_increase,stock_option,training,years_company,years_promotion,years_manager,job_involvement,performance,num_companiesworked,years_working,satisfaction_environment,satisfaction_job,wlb,attrition,business_travel,department,edu_field,gender,job_role,marital
27,2,3,1136,1,39040,15,0,2,7,0,7,3,3,1.0,7.0,4.0,4.0,3.0,No,Travel_Rarely,Sales,Life Sciences,Female,Manager,Single
32,8,1,1137,2,46270,17,1,2,1,0,0,2,3,8.0,8.0,4.0,4.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single
31,2,1,1138,3,70940,14,1,2,10,0,8,3,3,1.0,10.0,1.0,4.0,3.0,Yes,Travel_Frequently,Research & Development,Other,Male,Sales Executive,Married
53,18,3,1139,1,34230,15,1,4,2,2,2,3,3,6.0,15.0,1.0,1.0,2.0,Yes,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single
54,14,3,1140,3,66740,17,1,2,4,2,3,3,3,3.0,9.0,1.0,3.0,2.0,No,Travel_Rarely,Research & Development,Other,Male,Research Scientist,Married
33,2,4,1141,4,168800,14,3,2,9,2,8,3,3,1.0,9.0,4.0,3.0,3.0,No,Travel_Frequently,Research & Development,Medical,Female,Sales Executive,Divorced
43,3,3,1142,1,90940,12,1,0,10,0,9,3,3,1.0,10.0,1.0,3.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married
38,2,5,1143,4,84460,14,0,3,6,1,2,2,3,0.0,7.0,4.0,2.0,3.0,No,Travel_Frequently,Research & Development,Medical,Female,Sales Executive,Married
55,9,3,1144,2,119160,15,1,3,10,1,4,2,3,4.0,35.0,3.0,2.0,3.0,No,Travel_Rarely,Sales,Marketing,Male,Laboratory Technician,Married
31,6,3,1145,1,45340,13,0,2,1,0,0,3,3,1.0,1.0,4.0,4.0,3.0,No,Travel_Rarely,Sales,Other,Male,Manufacturing Director,Divorced
39,4,3,1146,2,98520,12,1,5,20,11,10,2,3,0.0,21.0,2.0,1.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Single
42,10,4,1147,2,61510,13,1,3,20,3,7,3,3,1.0,20.0,4.0,3.0,3.0,No,Non-Travel,Research & Development,Life Sciences,Female,Research Scientist,Single
31,14,2,1148,2,23020,14,0,3,11,4,8,3,3,4.0,13.0,3.0,3.0,4.0,No,Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Married
54,1,3,1149,2,23620,13,1,2,5,1,4,4,3,6.0,9.0,3.0,1.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Human Resources,Single
24,5,4,1150,1,178610,11,2,5,4,1,2,1,3,1.0,4.0,2.0,3.0,2.0,No,Travel_Rarely,Research & Development,Other,Male,Manufacturing Director,Single
23,7,3,1151,2,191870,11,1,2,5,1,4,3,3,1.0,5.0,4.0,4.0,4.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single
40,21,3,1152,3,197170,21,0,1,10,9,4,2,4,1.0,10.0,4.0,3.0,4.0,No,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Married
40,8,1,1153,5,35440,18,3,3,11,5,10,2,3,3.0,15.0,2.0,2.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married
25,20,5,1154,2,85000,12,0,2,2,1,2,3,3,4.0,6.0,3.0,2.0,3.0,No,Travel_Rarely,Sales,Medical,Female,Laboratory Technician,Married
30,20,4,1155,2,46610,11,0,3,12,1,7,2,3,1.0,12.0,4.0,2.0,2.0,No,Travel_Rarely,Human Resources,Life Sciences,Male,Research Scientist,Married
25,7,2,1156,5,41030,15,1,2,2,0,2,3,3,6.0,7.0,4.0,3.0,2.0,No,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Divorced
47,1,4,1157,2,42490,13,1,2,17,12,11,2,3,2.0,25.0,1.0,3.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Single
33,1,3,1158,2,140260,12,0,4,1,0,0,3,3,1.0,1.0,2.0,3.0,2.0,No,Non-Travel,Research & Development,Life Sciences,Male,Research Scientist,Divorced
38,19,3,1159,2,68930,17,0,3,15,5,8,3,3,0.0,16.0,4.0,2.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Married
31,10,4,1160,3,61250,13,1,3,2,1,2,3,3,0.0,3.0,1.0,3.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Sales Executive,Married
38,1,4,1161,2,36690,19,0,2,8,7,7,3,3,2.0,10.0,1.0,3.0,3.0,No,Travel_Frequently,Research & Development,Other,Male,Research Scientist,Married
42,6,3,1162,2,100080,19,1,3,4,1,2,1,3,6.0,9.0,4.0,1.0,2.0,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced
41,2,2,1163,1,23870,17,1,1,5,1,0,1,3,3.0,12.0,4.0,4.0,3.0,No,Travel_Rarely,Sales,Medical,Male,Healthcare Representative,Married
47,21,2,1164,1,46390,11,1,2,13,5,12,2,3,0.0,14.0,3.0,2.0,1.0,No,Non-Travel,Research & Development,Medical,Male,Sales Executive,Married
35,4,3,1165,2,78980,15,0,2,2,2,2,2,3,7.0,5.0,4.0,3.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married
22,12,1,1166,2,25340,11,0,1,3,1,2,3,3,0.0,4.0,4.0,3.0,4.0,No,Travel_Rarely,Human Resources,Human Resources,Male,Sales Executive,Single
35,9,3,1167,2,131420,25,2,4,10,0,8,3,4,1.0,10.0,2.0,3.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Sales Executive,Single
33,3,4,1168,3,16110,14,0,2,9,8,1,2,3,0.0,10.0,2.0,4.0,3.0,No,Travel_Rarely,Sales,Medical,Male,Healthcare Representative,Married
32,3,2,1169,3,53630,13,0,4,6,4,1,3,3,1.0,6.0,3.0,2.0,3.0,No,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Single
40,1,4,1170,2,50710,17,1,3,1,0,0,2,3,8.0,8.0,1.0,4.0,2.0,No,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married
32,1,2,1171,3,136950,13,0,3,2,2,2,3,3,0.0,3.0,2.0,2.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Married
39,4,4,1172,1,134020,14,1,1,7,1,7,3,3,7.0,18.0,1.0,4.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Single
38,20,4,1173,2,20290,11,1,3,18,1,11,2,3,3.0,20.0,2.0,3.0,3.0,No,Travel_Rarely,Sales,Medical,Female,Research Director,Married
32,18,3,1174,2,63770,12,2,3,14,5,7,3,3,1.0,14.0,3.0,4.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Married
37,1,3,1175,4,54290,17,1,3,16,6,8,3,3,1.0,16.0,3.0,4.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Married
25,2,4,1176,2,27850,21,0,2,5,0,4,3,4,0.0,6.0,1.0,3.0,2.0,No,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced
52,2,4,1177,1,46140,16,1,3,9,0,0,3,3,2.0,16.0,1.0,4.0,2.0,No,Non-Travel,Research & Development,Other,Male,Manager,Divorced
44,8,1,1178,1,26100,15,0,2,4,1,2,3,3,6.0,6.0,2.0,4.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Representative,Single
21,10,5,1179,3,66870,19,3,0,2,1,2,3,3,1.0,2.0,3.0,1.0,3.0,No,Travel_Rarely,Sales,Medical,Male,Research Scientist,Single
39,3,4,1180,2,47240,12,1,4,6,1,3,4,3,2.0,21.0,4.0,4.0,2.0,No,Non-Travel,Research & Development,Life Sciences,Female,Research Director,Single
23,2,4,1181,2,61790,11,0,3,1,1,0,3,3,1.0,1.0,4.0,1.0,2.0,Yes,Travel_Frequently,Research & Development,Life Sciences,Female,Manufacturing Director,Married
36,24,3,1182,2,61200,19,0,2,9,3,4,3,3,0.0,10.0,1.0,4.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married
36,16,1,1183,2,105960,15,0,3,4,0,2,2,3,7.0,18.0,4.0,2.0,3.0,No,Travel_Frequently,Research & Development,Medical,Male,Sales Executive,Divorced
56,8,1,1184,1,54670,20,0,6,13,1,9,2,4,1.0,13.0,3.0,3.0,2.0,No,Non-Travel,Research & Development,Life Sciences,Male,Sales Executive,Divorced
29,9,4,1185,2,29960,25,0,4,2,2,2,3,4,9.0,4.0,1.0,4.0,4.0,Yes,Travel_Rarely,Research & Development,Medical,Male,Sales Representative,Married
42,17,1,1186,3,99980,24,2,3,22,4,14,2,4,5.0,24.0,1.0,3.0,2.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married
56,10,4,1187,2,40780,24,1,3,10,9,8,3,4,8.0,14.0,4.0,3.0,1.0,Yes,Travel_Rarely,Sales,Other,Male,Sales Executive,Married
41,13,4,1188,1,109200,15,1,3,20,0,10,4,3,0.0,21.0,1.0,2.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Married
34,1,3,1189,1,62320,13,1,3,8,1,7,3,3,1.0,8.0,4.0,3.0,3.0,No,Travel_Rarely,Sales,Medical,Female,Laboratory Technician,Married
36,1,1,1190,1,132470,14,0,3,15,11,11,3,3,1.0,15.0,4.0,4.0,2.0,No,Non-Travel,Sales,Medical,Female,Human Resources,Divorced
41,1,5,1191,1,40810,13,0,3,5,0,4,3,3,2.0,14.0,3.0,2.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Divorced
32,9,4,1192,2,57690,11,0,3,4,1,2,3,3,1.0,4.0,4.0,1.0,3.0,No,Travel_Rarely,Sales,Life Sciences,Female,Research Scientist,Single
35,16,3,1193,2,23940,16,1,3,9,1,7,3,3,1.0,9.0,3.0,4.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Single
38,23,3,1194,3,39040,22,0,3,10,1,9,2,4,1.0,10.0,1.0,4.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Sales Representative,Married
50,4,2,1195,2,167990,14,1,2,6,0,1,2,3,7.0,12.0,2.0,3.0,3.0,Yes,Travel_Frequently,Sales,Life Sciences,Female,Laboratory Technician,Divorced
45,24,3,1197,1,36290,16,1,2,5,0,1,4,3,8.0,8.0,4.0,3.0,3.0,No,Travel_Rarely,Sales,Life Sciences,Male,Laboratory Technician,Single
35,7,2,1199,2,32290,25,0,2,10,0,2,2,4,1.0,10.0,3.0,3.0,4.0,No,Travel_Frequently,Sales,Life Sciences,Male,Manufacturing Director,Married
40,17,4,1200,1,35780,14,1,2,5,0,2,3,3,2.0,20.0,3.0,3.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Married
35,14,1,1201,2,79880,18,0,3,4,1,1,3,3,1.0,4.0,3.0,4.0,3.0,No,Travel_Rarely,Human Resources,Life Sciences,Male,Research Scientist,Married
29,1,3,1202,3,42840,11,0,5,4,0,3,2,3,4.0,10.0,4.0,2.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Married
29,5,3,1203,2,75530,19,0,3,5,0,4,3,3,1.0,5.0,4.0,1.0,1.0,No,Travel_Rarely,Research & Development,Medical,Male,Sales Representative,Single
50,17,3,1204,1,173280,15,2,1,3,2,0,3,3,4.0,20.0,4.0,1.0,3.0,Yes,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Divorced
39,25,3,1205,2,197010,11,0,3,20,9,6,4,3,0.0,21.0,2.0,4.0,2.0,No,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married
31,8,4,1206,4,147320,12,0,3,9,1,7,3,3,0.0,10.0,2.0,1.0,3.0,No,Non-Travel,Research & Development,Life Sciences,Female,Sales Executive,Single
26,11,4,1207,2,92780,20,0,3,4,0,0,3,4,0.0,5.0,4.0,3.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Manager,Single
36,5,1,1208,1,13590,12,0,2,5,0,3,3,3,4.0,17.0,3.0,4.0,3.0,No,Travel_Frequently,Research & Development,Technical Degree,Male,Sales Executive,Married
39,2,1,1209,1,47790,14,2,3,7,1,7,3,3,4.0,9.0,4.0,1.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married
27,8,2,1210,1,164220,20,1,3,6,0,3,3,4,1.0,6.0,2.0,2.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married
49,6,1,1211,3,29960,18,1,2,9,0,8,2,3,2.0,17.0,4.0,2.0,2.0,No,Travel_Frequently,Research & Development,Medical,Male,Healthcare Representative,Married
34,4,3,1212,1,12610,14,1,6,4,1,2,3,3,2.0,6.0,2.0,3.0,4.0,No,Travel_Rarely,Sales,Medical,Female,Sales Executive,Married
41,7,2,1213,1,20990,12,1,2,6,0,5,3,3,8.0,8.0,2.0,4.0,1.0,Yes,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single
49,1,4,1214,2,58100,21,1,2,10,1,7,3,4,1.0,10.0,3.0,2.0,3.0,No,Travel_Frequently,Sales,Life Sciences,Female,Manufacturing Director,Married
37,2,3,1215,1,56470,19,0,2,0,0,0,3,3,6.0,7.0,4.0,3.0,3.0,Yes,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Single
33,10,2,1216,2,34200,14,0,3,8,3,0,3,3,1.0,8.0,4.0,3.0,3.0,No,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Married
27,5,4,1217,4,44000,17,1,3,2,2,2,2,3,9.0,6.0,1.0,2.0,3.0,No,Travel_Rarely,Sales,Medical,Female,Manufacturing Director,Married
32,9,2,1218,2,35000,16,1,2,7,3,6,2,3,0.0,8.0,4.0,4.0,2.0,No,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Single
59,2,2,1219,5,20660,12,1,3,1,0,0,3,3,4.0,12.0,3.0,1.0,2.0,No,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Married
30,11,4,1220,2,171690,17,2,2,1,0,0,3,3,1.0,1.0,4.0,3.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced
38,18,4,1221,2,41620,15,1,1,9,1,8,3,3,0.0,10.0,4.0,3.0,3.0,No,Travel_Frequently,Sales,Life Sciences,Male,Healthcare Representative,Single
36,7,3,1222,1,92040,23,1,2,7,7,7,3,4,6.0,17.0,3.0,3.0,2.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Married
35,3,4,1223,2,32940,11,0,2,5,0,3,3,3,0.0,6.0,1.0,2.0,3.0,No,Travel_Rarely,Human Resources,Human Resources,Male,Manager,Married
29,29,4,1224,2,21270,11,1,3,9,0,8,2,3,0.0,10.0,4.0,3.0,3.0,No,Travel_Rarely,Sales,Life Sciences,Male,Laboratory Technician,Single
34,28,3,1226,1,107930,11,3,1,2,1,2,2,3,0.0,3.0,2.0,4.0,3.0,No,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Divorced
28,1,4,1227,5,100960,13,0,2,4,0,3,3,3,5.0,6.0,3.0,3.0,3.0,Yes,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Single
29,16,2,1228,4,36460,14,0,3,10,8,8,4,3,1.0,10.0,2.0,1.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced
32,22,3,1229,2,74460,19,0,3,6,0,5,3,3,0.0,7.0,1.0,2.0,2.0,No,Travel_Rarely,Human Resources,Human Resources,Female,Research Director,Divorced
22,8,3,1230,3,108510,16,1,2,1,0,0,4,3,1.0,1.0,4.0,4.0,2.0,No,Non-Travel,Research & Development,Life Sciences,Female,Sales Executive,Divorced
53,11,3,1231,2,21090,13,0,3,25,3,7,3,3,2.0,31.0,1.0,4.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Manager,Married
38,29,3,1232,1,37220,14,0,0,3,1,2,3,3,5.0,6.0,4.0,4.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Single
24,1,5,1233,3,93800,16,0,2,4,1,3,2,3,0.0,5.0,1.0,3.0,2.0,No,Non-Travel,Research & Development,Life Sciences,Male,Research Scientist,Divorced
36,1,3,1234,1,54860,12,1,2,5,0,3,3,3,7.0,10.0,3.0,1.0,3.0,Yes,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Single
34,24,3,1235,4,27420,11,1,2,12,2,11,3,3,0.0,13.0,1.0,2.0,3.0,No,Travel_Rarely,Sales,Marketing,Male,Research Scientist,Single
21,2,3,1236,2,137570,12,1,3,0,0,0,3,3,1.0,0.0,3.0,4.0,3.0,No,Travel_Rarely,Sales,Life Sciences,Male,Manufacturing Director,Single
34,15,2,1237,2,84630,13,0,2,4,1,3,1,3,2.0,8.0,2.0,1.0,3.0,Yes,Travel_Rarely,Sales,Marketing,Female,Research Scientist,Single
53,2,1,1238,5,31620,15,0,4,14,4,8,3,3,4.0,26.0,3.0,3.0,2.0,No,Travel_Rarely,Sales,Life Sciences,Male,Human Resources,Divorced
32,10,3,1239,2,165980,13,0,2,10,6,7,3,3,1.0,10.0,2.0,1.0,3.0,Yes,Travel_Frequently,Research & Development,Medical,Female,Manufacturing Director,Single
42,10,3,1240,2,66510,20,0,5,9,4,2,2,4,0.0,10.0,3.0,2.0,3.0,No,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Married
44,3,1,1241,1,23450,15,2,0,22,5,17,3,3,3.0,24.0,1.0,4.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married
46,2,3,1242,1,34200,13,2,3,2,2,1,1,3,3.0,22.0,2.0,1.0,2.0,No,Travel_Rarely,Sales,Life Sciences,Female,Research Scientist,Single
33,3,3,1243,1,43730,14,0,3,1,0,0,3,3,4.0,7.0,3.0,4.0,3.0,No,Travel_Rarely,Sales,Medical,Male,Manufacturing Director,Single
44,26,3,1244,5,47590,21,0,2,4,1,3,3,4,2.0,9.0,4.0,4.0,4.0,No,Travel_Rarely,Human Resources,Life Sciences,Male,Healthcare Representative,Married
30,1,4,1245,1,53010,16,1,3,10,1,8,3,3,1.0,10.0,4.0,3.0,3.0,No,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Single
39,1,4,1246,1,36730,14,1,3,1,0,0,3,3,3.0,19.0,4.0,4.0,4.0,Yes,Travel_Rarely,Human Resources,Medical,Male,Sales Executive,Married
24,2,5,1247,3,47680,11,1,2,2,2,0,2,3,2.0,6.0,2.0,4.0,2.0,Yes,Travel_Rarely,Human Resources,Human Resources,Male,Sales Executive,Married
43,9,5,1248,1,12740,19,0,3,5,1,4,2,3,1.0,6.0,4.0,3.0,2.0,No,Travel_Rarely,Sales,Technical Degree,Female,Research Director,Divorced
50,12,4,1249,1,49000,11,0,3,3,0,2,2,3,1.0,3.0,1.0,3.0,3.0,Yes,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married
35,2,4,1250,3,104660,13,0,1,2,2,2,3,3,1.0,2.0,4.0,4.0,3.0,No,Travel_Rarely,Sales,Marketing,Male,Manufacturing Director,Married
36,25,1,1251,4,170070,12,1,2,1,0,0,2,3,9.0,6.0,2.0,1.0,4.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Married
33,9,2,1252,4,29090,11,0,2,5,1,3,2,3,2.0,10.0,3.0,1.0,3.0,No,Travel_Frequently,Sales,Marketing,Male,Human Resources,Married
35,10,1,1253,1,57650,14,1,2,1,0,0,3,3,1.0,1.0,3.0,4.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Divorced
27,8,2,1254,3,45990,15,1,3,1,0,0,2,3,1.0,1.0,4.0,1.0,3.0,No,Travel_Rarely,Sales,Marketing,Female,Research Scientist,Divorced
26,4,3,1255,2,24040,12,0,6,1,0,1,3,3,1.0,1.0,1.0,3.0,2.0,Yes,Travel_Rarely,Sales,Marketing,Male,Manager,Single
27,24,3,1256,4,31720,20,1,1,9,1,7,3,4,1.0,9.0,4.0,3.0,3.0,No,Travel_Frequently,Sales,Life Sciences,Male,Healthcare Representative,Single
30,1,4,1257,1,20330,14,1,3,12,3,7,1,3,1.0,12.0,3.0,4.0,3.0,No,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Single
41,20,4,1258,2,102090,13,1,2,22,15,8,3,3,1.0,23.0,2.0,3.0,3.0,Yes,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married
34,7,2,1259,1,86200,13,1,2,9,8,7,2,3,0.0,10.0,2.0,3.0,3.0,No,Non-Travel,Research & Development,Technical Degree,Female,Research Scientist,Single
37,17,3,1260,3,20640,16,0,3,1,0,0,2,3,4.0,8.0,2.0,2.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Married
35,8,4,1262,3,38380,16,1,2,1,0,1,3,3,1.0,1.0,4.0,4.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married
48,2,4,1263,1,45910,16,0,6,1,0,0,1,3,9.0,23.0,1.0,3.0,3.0,Yes,Travel_Rarely,Research & Development,Technical Degree,Female,Sales Executive,Single
28,10,1,1264,1,25610,22,1,3,2,2,2,3,4,1.0,2.0,3.0,3.0,2.0,Yes,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Single
44,1,1,1265,3,15630,12,2,3,4,1,3,3,3,5.0,9.0,2.0,1.0,2.0,No,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Divorced
35,5,4,1266,3,48980,15,2,2,4,2,3,3,3,2.0,10.0,3.0,1.0,3.0,No,Non-Travel,Research & Development,Technical Degree,Female,Manufacturing Director,Married
26,4,4,1267,3,47890,20,1,2,2,0,0,3,4,7.0,5.0,3.0,4.0,2.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Married
33,29,4,1268,1,31800,14,1,2,15,8,12,3,3,1.0,15.0,1.0,4.0,3.0,No,Travel_Frequently,Sales,Life Sciences,Female,Human Resources,Single
35,15,3,1269,3,65490,20,0,3,9,1,8,3,4,1.0,9.0,2.0,1.0,2.0,No,Travel_Frequently,Research & Development,Medical,Male,Manufacturing Director,Married
35,3,2,1270,1,63880,13,0,6,2,2,2,2,3,3.0,4.0,3.0,1.0,3.0,No,Travel_Rarely,Human Resources,Life Sciences,Female,Laboratory Technician,Married
31,10,2,1271,2,112440,12,1,3,7,1,7,3,3,3.0,10.0,4.0,4.0,2.0,No,Travel_Rarely,Sales,Life Sciences,Female,Research Scientist,Divorced
37,4,3,1272,4,160320,13,0,2,7,0,7,3,3,1.0,7.0,1.0,3.0,4.0,No,Travel_Rarely,Sales,Marketing,Male,Human Resources,Divorced
32,21,3,1273,2,23620,11,0,2,9,7,8,3,3,1.0,9.0,1.0,4.0,3.0,No,Travel_Rarely,Research & Development,Other,Male,Sales Executive,Married
38,25,3,1274,2,163280,17,3,2,10,9,9,3,3,1.0,10.0,4.0,4.0,3.0,No,Travel_Frequently,Research & Development,Medical,Male,Manufacturing Director,Single
50,2,4,1275,4,83760,14,3,2,27,13,8,3,3,5.0,29.0,2.0,3.0,2.0,No,Travel_Rarely,Sales,Marketing,Female,Research Scientist,Divorced
59,1,3,1276,1,166060,11,0,6,21,7,9,3,3,7.0,28.0,1.0,1.0,2.0,No,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Single
36,1,2,1277,2,86060,14,2,3,17,12,8,3,3,1.0,17.0,3.0,3.0,3.0,No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced
55,7,3,1278,3,22720,17,1,2,5,0,2,3,3,2.0,21.0,4.0,3.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Divorced
36,3,3,1279,2,20180,13,0,5,6,0,3,3,3,1.0,6.0,2.0,2.0,3.0,No,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single
45,1,2,1280,1,70830,12,1,5,1,0,0,3,3,2.0,25.0,2.0,1.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Sales Executive,Divorced
35,9,3,1281,2,40840,13,1,3,3,1,2,3,3,4.0,5.0,2.0,1.0,2.0,No,Travel_Frequently,Human Resources,Other,Female,Sales Representative,Married
36,7,2,1282,4,144110,18,3,2,1,0,0,4,3,0.0,2.0,4.0,3.0,2.0,Yes,Travel_Rarely,Sales,Life Sciences,Male,Laboratory Technician,Married
59,10,4,1283,3,23080,19,1,4,4,1,3,2,3,7.0,20.0,1.0,3.0,2.0,No,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Single
29,28,4,1284,1,48410,11,0,3,5,0,4,3,3,0.0,6.0,3.0,2.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Representative,Married
31,3,2,1285,3,42850,21,1,2,1,1,0,1,4,1.0,1.0,3.0,2.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Sales Executive,Single
32,3,4,1286,2,97150,15,1,1,10,0,9,2,3,1.0,10.0,2.0,2.0,3.0,No,Travel_Rarely,Sales,Life Sciences,Male,Manufacturing Director,Married
36,2,3,1287,2,43200,17,0,2,1,0,0,3,3,3.0,5.0,2.0,4.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Representative,Married
31,27,3,1288,2,21320,18,0,3,11,1,8,3,3,1.0,11.0,3.0,4.0,3.0,No,Travel_Rarely,Research & Development,Medical,Female,Research Director,Single
35,2,4,1289,2,101240,14,1,2,15,2,8,4,3,0.0,16.0,3.0,1.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Single
45,14,3,1290,1,54730,13,0,3,0,0,0,1,3,4.0,17.0,4.0,1.0,4.0,No,Travel_Rarely,Human Resources,Human Resources,Female,Sales Executive,Married
37,1,3,1291,3,52070,17,3,3,5,0,2,3,3,4.0,16.0,1.0,3.0,4.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Single
46,9,3,1292,3,164370,15,1,0,4,0,2,3,3,8.0,16.0,2.0,2.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Manager,Divorced
30,18,3,1293,4,22960,18,1,2,10,3,0,3,3,1.0,10.0,4.0,4.0,2.0,No,Travel_Rarely,Sales,Life Sciences,Male,Human Resources,Married
35,20,4,1294,3,40690,13,0,5,6,0,4,3,3,1.0,6.0,2.0,3.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Human Resources,Single
55,2,3,1295,2,74410,12,1,4,1,1,0,3,3,3.0,24.0,1.0,4.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married
38,11,1,1296,2,24300,13,2,2,13,1,9,4,3,7.0,17.0,2.0,4.0,3.0,No,Non-Travel,Sales,Marketing,Male,Laboratory Technician,Divorced
34,8,2,1297,1,58780,14,0,1,5,1,3,3,3,1.0,5.0,1.0,2.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married
56,2,1,1298,2,26440,11,1,2,6,0,2,3,3,4.0,37.0,4.0,4.0,2.0,No,Travel_Rarely,Human Resources,Medical,Male,Sales Executive,Single
23,10,3,1299,2,64390,22,3,2,0,0,0,3,4,3.0,3.0,3.0,1.0,3.0,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced
51,29,4,1300,5,24510,17,0,2,4,0,3,2,3,3.0,10.0,4.0,4.0,3.0,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married
30,8,2,1301,1,63920,21,1,2,11,10,8,4,4,1.0,11.0,3.0,4.0,3.0,No,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Married
